"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Scorpiones","Scorpiones","Scorpiones","Scorpiones","Scorpiones","Scorpiones","Scorpiones","Scorpiones","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Silphidae","Silphidae","Silphidae","Silphidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Solenopsis","Solenopsis","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Solifugae","Solifugae","Solifugae","Solifugae","Solifugae","Solifugae","Solifugae","Solifugae","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Sphecinae","Sphecinae","Sphecinae","Sphecidae","Apoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Staphylinus","Staphylinus","Staphylininae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Stenopelmatus","Stenopelmatus","Stenopelmatinae","Stenopelmatidae","Stenopelmatoidea","Tettigoniidea","Ensifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Stratiomyomorpha","Stratiomyomorpha","Stratiomyomorpha","Stratiomyomorpha","Stratiomyomorpha","Stratiomyomorpha","Brachycera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Strepsiptera","Strepsiptera","Strepsiptera","Strepsiptera","Strepsiptera","Strepsiptera","Strepsiptera","Strepsiptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Strumigenys","Strumigenys","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Tapinoma","Tapinoma","Dolichoderinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Tenebrionidae","Tenebrionidae","Tenebrionidae","Tenebrionidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Tenebrioninae","Tenebrioninae","Tenebrioninae","Tenebrionidae","Tenebrionoidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Theraphosidae","Theraphosidae","Theraphosidae","Theraphosidae","Mygalomorphae","Mygalomorphae","Mygalomorphae","Araneae","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Tipulidae","Tipulidae","Tipulidae","Tipulidae","Tipuloidea","Tipulimorpha","Nematocera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Trachelipus rathkii","Trachelipus","Trachelipodidae","Trachelipodidae","Armadilloidea","Ligiamorpha","Oniscidea","Isopoda","Peracarida","Eumalacostraca","Malacostraca","Crustacea","Arthropoda"
"Ventridens ligera","Ventridens","Zonitidae","Zonitidae","Vitrinoidea","Stylommatophora","Stylommatophora","Stylommatophora","Eupulmonata","Heterobranchia","Gastropoda","Mollusca","Mollusca"
"Vespula","Vespula","Vespinae","Vespidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Xerocrassa subvariegata","Xerocrassa","Geomitridae","Geomitridae","Helicoidea","Stylommatophora","Stylommatophora","Stylommatophora","Eupulmonata","Heterobranchia","Gastropoda","Mollusca","Mollusca"
"Zygentoma","Zygentoma","Zygentoma","Zygentoma","Zygentoma","Zygentoma","Zygentoma","Zygentoma","Dicondylia","Dicondylia","Insecta","Hexapoda","Arthropoda"
